,region,numberpets,householdsize,homeowner,jobcategory,carbrand,log_car_val,log_hh_income,log_tot_debt,log_tot_value
143,west,0,3,1,Service,Domestic,11.05247605,11.7829526,13.45065942,6.37851107
144,west,3,1,1,Sales,Domestic,8.612503371,9.210340372,11.01862914,3.286534473
146,northeast,0,1,0,Service,Foreign,8.536995819,9.305650552,13.03615168,7.181858069
148,west,2,1,0,Professional,Domestic,10.36722157,10.95080655,13.50025172,5.371567828
149,west,0,1,0,Service,Domestic,10.25765937,10.89673933,13.0939639,5.622572419
150,midwest,0,2,1,Agriculture,Foreign,10.76214917,11.49272276,14.06533499,8.023617921
151,west,3,3,1,Sales,Domestic,9.525151112,10.23995979,13.27009349,8.154370819
152,midwest,0,5,1,Professional,Domestic,10.52406404,11.14186178,12.91681413,5.007965066
153,southwest,2,2,1,Professional,Foreign,11.26957921,11.91170158,11.55502664,7.531203982
154,southwest,5,4,1,Professional,Foreign,11.14764215,11.9511804,14.11450342,7.27679842
155,southeast,0,1,0,Sales,Domestic,9.667765219,10.79957558,13.54684649,4.196449785
156,southwest,2,1,1,Crafts,Foreign,8.974618038,9.740968623,12.36563722,8.030604792
157,west,2,1,0,Sales,Domestic,9.71111566,10.34174248,13.06959531,7.255132129
158,west,1,5,1,Professional,Domestic,9.846917201,10.57131693,13.59174181,6.685049132
159,midwest,2,3,0,Professional,Foreign,11.13604781,11.95761129,12.05292147,7.765378223
160,southeast,0,2,1,Sales,Foreign,8.867850063,9.740968623,11.59726661,6.075690799
161,southwest,0,3,1,Sales,Domestic,10.51325312,11.00209984,13.13033155,6.629759476
162,midwest,2,2,1,Professional,Domestic,10.15424627,11.71177632,14.32184612,5.844703166
163,southeast,0,1,1,Sales,Foreign,9.581903928,10.37349118,12.33358597,5.178125181
164,midwest,0,2,1,Professional,Domestic,9.83091686,10.66895539,12.07994237,7.764593202
165,southwest,0,1,0,Service,Domestic,11.2009507,11.86358234,14.47365213,7.77502382
166,southeast,0,2,1,Crafts,Foreign,11.00043178,11.71993963,11.81524981,8.239870607
167,northeast,0,5,1,Crafts,Foreign,9.752664663,10.37349118,10.26813067,3.978746637
168,west,0,1,0,Labor,Domestic,8.909235279,9.546812609,11.53468696,3.594568775
169,northeast,1,3,0,Sales,Domestic,8.974618038,9.740968623,11.82041016,6.768090832
170,midwest,0,2,1,Sales,Domestic,10.09823163,10.96819829,13.40181164,6.02936227
171,southeast,0,2,1,Crafts,Domestic,9.98506754,10.57131693,12.80133133,6.389233449
172,midwest,0,2,1,Crafts,Foreign,9.867860375,10.75790288,12.82476564,8.237809922
173,northeast,1,1,1,Sales,Foreign,10.17351469,10.79957558,12.3681915,6.930983405
174,southeast,2,4,1,Sales,Domestic,9.472704636,10.27505111,12.6638139,6.962811485
176,northeast,0,1,1,Agriculture,Foreign,9.210340372,9.903487553,12.85839783,7.175642724
177,midwest,1,2,0,Professional,Domestic,10.60658506,11.21182037,13.1859014,6.688105617
178,southwest,0,3,1,Labor,Domestic,11.39301517,12.17044547,13.47877829,8.36425178
179,southwest,2,1,0,Labor,Domestic,10.94552949,11.45105006,14.40596034,6.959161067
180,northeast,0,5,0,Labor,Domestic,8.895629627,9.952277717,12.20356952,5.674010316
181,southwest,1,1,1,Professional,Domestic,10.82377031,11.70354582,13.75766956,6.629825498
183,midwest,1,1,0,Professional,Domestic,10.4487146,10.87804719,13.48073688,6.710157635
184,northeast,1,1,1,Professional,Foreign,10.42228135,10.93310697,13.3579097,7.483806688
185,midwest,0,1,0,Professional,Domestic,9.350102314,10.16585182,13.06176376,7.043028903
186,west,0,1,1,Sales,Domestic,9.082507,9.852194258,11.28727878,6.209193466
187,southwest,1,1,1,Crafts,Domestic,9.735068901,10.75790288,12.46265097,4.575741375
189,southwest,4,2,1,Crafts,Domestic,11.14041146,12.00762171,15.39876875,8.167252663
191,midwest,0,5,1,Sales,Domestic,9.546812609,10.04324949,10.78518684,5.66296048
192,west,2,1,1,Labor,Foreign,8.764053269,9.472704636,12.32341114,7.557629547
193,southeast,2,4,1,Labor,Domestic,10.68510338,11.21182037,13.68835877,6.480581228
194,midwest,2,2,1,Professional,Domestic,10.89116828,11.76756768,13.47231578,7.318473233
195,northeast,1,1,0,Sales,Domestic,10.25414442,10.93310697,12.74139574,5.594525489
196,midwest,0,2,1,Sales,Domestic,10.3609124,10.98529272,13.49489199,7.337880479
197,southwest,1,2,1,Crafts,Domestic,9.609116492,10.49127422,12.13993284,5.214935758
198,southwest,0,1,1,Professional,Foreign,10.75790288,11.47210347,14.84969099,8.411832676
199,southwest,2,1,1,Service,Domestic,9.179881164,9.998797732,12.70015895,8.151981916
200,west,1,1,0,Sales,Domestic,9.989665249,10.66895539,12.88815888,7.748912898
201,midwest,2,1,1,Sales,Foreign,9.480367509,10.27505111,13.69931376,5.363636833
203,midwest,0,2,1,Sales,Domestic,9.595602773,10.27505111,12.92829307,6.598509029
204,west,2,1,0,Professional,Foreign,8.999619341,9.798127037,11.42736758,6.614658574
205,southeast,1,2,1,Sales,Domestic,8.794824928,9.546812609,10.18866649,7.325807503
206,west,0,6,1,Crafts,Foreign,9.746833742,10.49127422,13.38164598,6.507949129
207,northeast,0,1,0,Sales,Domestic,10.97848998,11.9316358,14.05986751,7.270799893
208,southeast,0,2,1,Professional,Domestic,10.68051622,11.33857208,13.63110683,5.793927825
209,west,1,1,1,Sales,Foreign,9.525151112,10.37349118,13.10134401,8.458620837
210,midwest,3,2,1,Sales,Domestic,8.839276691,9.998797732,12.87799619,6.689972334
211,southeast,0,2,1,Agriculture,Foreign,11.23453344,11.87059991,13.64555226,8.472185365
212,southwest,1,2,1,Sales,Foreign,9.024010794,9.998797732,10.87426647,5.935026462
213,southwest,0,3,1,Service,Foreign,10.09823163,10.81977828,13.25339164,8.746151802
215,southeast,0,4,1,Sales,Domestic,9.179881164,9.472704636,10.6666271,5.247024072
216,southeast,0,5,1,Crafts,Foreign,10.27849345,10.91508846,12.58279528,8.418344759
217,northeast,1,1,1,Service,Domestic,9.200290036,10.04324949,12.55284876,7.910975718
218,northeast,0,2,1,Sales,Foreign,8.342839804,9.61580548,10.86856845,8.565278345
219,northeast,2,1,1,Service,Foreign,10.13855967,10.71441777,13.6950364,3.314186005
220,southeast,1,1,1,Crafts,Domestic,9.358760377,9.903487553,12.49125159,6.312279126
221,southeast,1,1,0,Sales,Domestic,9.568014816,10.77895629,13.374211,7.772184134
222,southeast,0,2,1,Service,Foreign,9.857443614,10.6454249,12.54753242,5.823637436
224,northeast,1,4,1,Professional,Foreign,9.674074388,10.54534144,12.74256602,4.891100725
225,northeast,0,2,0,Sales,Foreign,10.09823163,11.09741002,13.16427278,6.983836303
226,southeast,1,6,0,Professional,Foreign,9.071078305,9.852194258,11.26318123,4.320815904
227,northeast,4,2,0,Professional,Foreign,8.342839804,9.210340372,11.12726298,6.532698127
228,midwest,1,3,0,Service,Domestic,9.358760377,9.952277717,12.42037725,6.935419083
229,northeast,0,2,1,Service,Domestic,11.16478542,11.64395373,13.58986388,7.547026887
230,southwest,0,1,0,Sales,Domestic,9.698920387,10.62132735,12.23076526,5.963450801
231,midwest,0,1,1,Service,Domestic,9.392661929,10.04324949,12.70350903,6.241055268
232,west,0,3,1,Professional,Foreign,9.314700387,9.952277717,11.14620019,3.180134997
233,northeast,2,2,1,Labor,Foreign,10.45160896,11.60823564,14.99938269,8.409162447
235,midwest,1,1,1,Sales,Foreign,10.75149944,11.53272809,13.69605112,5.876474482
236,southeast,1,1,0,Professional,Foreign,9.392661929,9.998797732,11.77375008,5.787050744
237,southeast,0,2,1,Crafts,Domestic,10.1064284,10.6454249,12.45371367,5.588932633
238,southeast,0,1,1,Sales,Foreign,9.786953736,10.49127422,13.19263543,7.166265974
239,southeast,0,4,0,Professional,Domestic,9.249561085,9.852194258,11.37825056,7.068640374
240,southeast,1,1,1,Service,Foreign,9.746833742,10.34174248,13.49447851,6.19082757
241,southwest,0,6,1,Professional,Foreign,10.28874995,11.09741002,13.81210476,8.392208033
242,southwest,1,3,1,Labor,Domestic,9.786953736,10.04324949,12.3850553,7.807428705
243,west,1,4,1,Service,Domestic,9.116029693,9.61580548,11.20504069,4.002777369
244,northeast,3,4,1,Agriculture,Domestic,9.480367509,9.952277717,12.13832899,5.576327819
245,midwest,0,1,1,Labor,Domestic,11.39414193,12.37581542,13.98525333,5.775948085
247,northeast,0,5,1,Service,Foreign,11.29973224,12.24529336,14.36154887,8.871659699
248,southeast,0,2,1,Professional,Foreign,10.24707726,11.31447453,13.62700995,6.942832806
249,midwest,8,1,1,Service,Foreign,11.41971308,12.11176197,15.37752138,7.423090718
250,southeast,0,5,1,Labor,Domestic,8.411832676,9.740968623,11.10194518,4.888090941
251,southeast,3,1,1,Professional,Domestic,10.41331268,11.03488966,13.40513341,7.928388008
252,southwest,2,2,1,Service,Domestic,9.287301413,10.30895266,13.72995267,3.952204795
253,southwest,0,2,0,Sales,Foreign,9.126958763,9.798127037,11.60641581,4.994844608
255,southwest,0,5,1,Crafts,Foreign,10.858999,11.59910316,14.51145383,8.321506721
256,southeast,2,1,1,Labor,Foreign,10.77478092,11.38509209,13.50134761,7.536017212
257,west,2,4,1,Sales,Domestic,10.08580911,10.73639668,13.13429195,8.984430498
259,southwest,0,1,0,Sales,Domestic,10.36407196,10.96819829,13.22996139,5.183187059
260,west,3,1,0,Professional,Foreign,9.417354541,10.23995979,11.60093634,4.619566066
261,southeast,0,1,1,Sales,Foreign,10.6454249,11.75194237,13.68346378,6.551722986
262,southeast,3,1,1,Sales,Foreign,10.41030515,10.83958091,13.74648197,5.646859327
264,southwest,1,2,1,Service,Foreign,11.36789969,11.85651517,14.22675891,7.257566723
265,southwest,0,2,0,Sales,Domestic,9.082507,9.903487553,12.60484877,6.074426068
267,southeast,1,3,1,Sales,Foreign,9.350102314,10.30895266,12.58107855,5.356586275
269,west,0,1,0,Sales,Foreign,9.568014816,9.998797732,12.39669301,7.895957286
271,midwest,0,4,1,Professional,Domestic,10.35774282,10.91508846,13.96908965,7.858737251
274,west,0,1,0,Professional,Domestic,8.999619341,9.740968623,11.99226042,4.455509411
275,northeast,2,1,1,Professional,Domestic,9.45720045,10.30895266,11.7905572,7.400498395
276,midwest,0,1,1,Professional,Foreign,8.433811582,9.210340372,10.6454249,5.054971108
277,west,0,3,1,Crafts,Domestic,9.323669057,10.16585182,11.15910359,8.556413905
278,southeast,0,4,1,Professional,Domestic,9.287301413,10.04324949,12.07139774,6.303900206
279,southeast,3,2,0,Service,Foreign,10.4341158,10.81977828,12.25486281,6.634567653
280,west,0,3,1,Sales,Foreign,9.332558005,9.952277717,12.19298741,5.983558376
281,midwest,0,3,1,Sales,Domestic,9.169518377,9.998797732,11.68519669,5.765504533
282,west,1,1,0,Professional,Domestic,10.24707726,11.00209984,12.33710091,7.717017438
283,west,0,1,1,Labor,Domestic,11.07131491,11.5228758,14.20389732,8.85652562
284,southwest,2,1,1,Sales,Foreign,10.55841352,11.08214255,12.84000047,5.505941106
285,midwest,0,1,0,Labor,Foreign,9.820105944,10.37349118,12.30501259,5.396804313
286,southwest,0,3,1,Sales,Domestic,9.503009986,10.1266311,12.47800636,4.556505014
287,midwest,0,2,0,Professional,Domestic,9.781319919,10.4341158,13.28482231,7.152190544
288,northeast,0,1,1,Sales,Domestic,9.952277717,10.51867319,10.70099475,3.722072421
289,northeast,1,1,1,Labor,Foreign,9.686574551,10.34174248,10.34174248,4.692723083
291,southwest,2,1,0,Service,Foreign,10.17351469,10.98529272,12.87236237,8.686117065
292,west,0,1,1,Sales,Foreign,9.898475011,10.51867319,13.17893273,4.814214813
293,west,0,5,1,Service,Domestic,9.775654181,10.30895266,11.97665948,6.182188207
294,southwest,0,1,1,Crafts,Domestic,10.35137338,11.32659589,13.01299484,8.439523499
295,northeast,2,3,1,Sales,Domestic,9.648595303,10.34174248,12.73050527,8.694669697
296,southeast,0,1,0,Labor,Domestic,10.20359214,10.66895539,13.55375611,3.208825489
297,southwest,0,5,1,Labor,Domestic,9.517825072,9.852194258,11.10495723,7.555146438
298,southeast,0,2,1,Service,Foreign,10.48849257,11.06663836,13.05451271,6.847846026
299,northeast,1,2,1,Labor,Domestic,9.400960732,10.08580911,10.34817337,4.847724131
300,west,0,1,1,Sales,Domestic,8.935903526,10.08580911,12.53681421,7.083849151
301,southwest,1,2,0,Professional,Foreign,9.487972109,10.40426284,12.70684793,3.723280881
302,southeast,0,6,0,Sales,Domestic,8.987196821,9.740968623,12.16577135,7.810677043
303,northeast,0,2,1,Service,Foreign,9.568014816,10.51867319,12.65873936,6.779467259
304,southeast,2,4,1,Sales,Domestic,9.503009986,9.952277717,11.45635511,3.339321978
305,southwest,0,1,0,Crafts,Domestic,9.76995616,10.27505111,13.21421303,2.277267285
306,southeast,2,3,1,Sales,Foreign,9.384293679,10.4341158,13.1219633,5.344007492
309,southeast,1,4,1,Service,Domestic,10.50780352,11.26446411,12.9872307,7.99907437
310,southwest,0,5,1,Professional,Domestic,9.26860928,9.852194258,12.95228655,5.385412073
311,west,0,1,0,Professional,Foreign,9.546812609,10.27505111,12.50506551,3.832979798
312,southwest,1,2,0,Sales,Domestic,8.242756346,9.104979856,10.43998092,5.419206684
313,west,0,1,0,Professional,Domestic,10.56359488,11.09741002,13.89469136,8.762927636
314,southeast,0,2,0,Sales,Domestic,9.655026193,10.37349118,12.27559871,5.129898715
316,midwest,4,1,0,Professional,Foreign,10.16969059,10.81977828,13.5670492,4.402441819
317,southwest,1,1,0,Professional,Foreign,10.1266311,10.81977828,12.69158046,5.217378424
318,midwest,0,2,0,Professional,Domestic,10.22918769,11.21182037,12.24143979,8.003546927
319,west,0,4,1,Professional,Foreign,9.104979856,9.903487553,12.13350195,3.115735066
321,midwest,0,5,1,Professional,Domestic,10.13855967,11.06663836,12.52525339,4.345751579
322,west,0,1,1,Sales,Foreign,8.342839804,9.104979856,11.15910359,7.783952917
323,midwest,0,1,0,Service,Foreign,8.867850063,9.680344001,11.97287876,8.290819429
324,west,0,2,1,Professional,Domestic,10.70772878,11.23848862,12.19400006,8.789690558
325,southeast,0,1,1,Service,Domestic,10.30895266,11.09741002,10.18111929,6.690469537
326,northeast,2,1,1,Sales,Foreign,8.496990484,9.305650552,10.80972795,5.830268272
327,midwest,0,1,1,Crafts,Domestic,8.935903526,9.472704636,11.85225077,2.887590115
328,midwest,0,2,0,Professional,Domestic,10.22194128,10.91508846,13.71844885,4.34120464
329,west,1,1,1,Professional,Foreign,9.698920387,10.23995979,11.49272276,7.69487083
330,northeast,4,2,0,Service,Foreign,11.37251331,12.16002871,14.58483143,6.125120932
331,northeast,1,1,1,Professional,Foreign,10.81577026,11.17043516,13.5406789,7.509965205
332,west,2,5,0,Professional,Domestic,8.853665428,9.740968623,12.01309451,8.422167971
333,west,4,2,1,Sales,Foreign,9.287301413,10.20359214,12.07539432,6.735483058
334,northeast,3,5,0,Service,Foreign,9.425451752,10.87804719,12.4874851,6.096274911
335,southwest,2,3,1,Sales,Domestic,9.933046355,10.51867319,12.91656846,6.846571126
336,midwest,0,2,1,Labor,Foreign,9.210340372,9.952277717,12.26481314,6.878686856
337,west,2,1,1,Sales,Domestic,10.08163374,10.75790288,12.8741584,5.091908014
338,west,0,4,1,Professional,Foreign,9.642122788,10.30895266,12.60148742,4.480740108
340,midwest,2,4,0,Professional,Domestic,8.748304912,9.798127037,11.8899911,2.598979106
341,northeast,0,2,1,Professional,Foreign,10.20359214,11.14186178,13.20872454,6.616734305
342,west,2,2,0,Professional,Foreign,9.642122788,10.83958091,13.71314555,8.004999966
343,northeast,1,1,1,Professional,Foreign,9.75846178,10.46310334,13.72503865,8.270896155
344,southeast,1,5,1,Sales,Domestic,9.472704636,10.23995979,12.52234217,4.006423681
345,northeast,3,1,1,Labor,Foreign,11.09589372,11.87059991,14.173185,7.071573364
346,southwest,0,2,1,Professional,Foreign,10.80161431,11.28978191,14.17458263,7.108939479
347,midwest,0,1,1,Sales,Domestic,8.987196821,9.798127037,11.97287876,7.418060768
348,southeast,0,1,1,Sales,Domestic,9.908475094,10.62132735,12.78465037,6.613652639
349,southwest,0,3,0,Sales,Foreign,9.698920387,10.37349118,13.41324034,4.299324143
350,southeast,2,2,1,Professional,Foreign,11.39188714,12.64432758,15.29756954,8.968962837
351,midwest,3,2,1,Sales,Foreign,11.29849385,12.11176197,13.65932447,7.097093826
352,west,0,4,0,Service,Domestic,11.36674295,11.94470788,12.82017662,6.443176906
354,midwest,1,2,1,Crafts,Foreign,11.10945836,11.87059991,13.48003782,6.564490022
355,southeast,0,5,0,Crafts,Foreign,9.37585481,10.1266311,11.46163217,6.949856455
356,southwest,0,4,1,Labor,Domestic,8.794824928,9.852194258,13.0344061,7.165648023
358,southwest,0,1,0,Crafts,Domestic,8.342839804,9.210340372,11.7829526,7.054449658
360,northeast,2,4,1,Professional,Domestic,10.84349481,11.32659589,13.31447023,3.952204795
