Year,League,Team,Revenue,Value,Year over Year Value Increase,Debt/Value, Income ,Population
2020,NFL,Tennessee Titans,"422,000,000","2,300,000,000",,, -   ,"1,865,298"
2020,NBA,New York Knicks,"421,000,000","5,000,000,000",,, -   ,"20,153,634"
2020,NFL,Tampa Bay Buccaneers,"419,000,000","2,280,000,000",,, -   ,"3,032,171"
2020,NFL,Buffalo Bills,"413,000,000","2,050,000,000",,, -   ,"1,132,804"
2020,NFL,Detroit Lions,"411,000,000","2,100,000,000",,, -   ,"2,055,612"
2020,MLB,Los Angeles Dodgers,"403,000,000","2,400,000,000",,, -   ,"13,310,447"
2020,NBA,Los Angeles Lakers,"400,000,000","4,600,000,000",,, -   ,"13,310,447"
2020,NFL,Cincinnati Bengals,"397,000,000","2,000,000,000",,, -   ,"2,165,139"
2020,NFL,Los Angeles Chargers,"392,000,000","2,600,000,000",,, -   ,"13,310,447"
2020,MLB,San Francisco Giants,"387,000,000","2,000,000,000",,, -   ,"6,657,982"
2020,NFL,Las Vegas Raiders,"383,000,000","3,100,000,000",,, -   ,"2,155,664"
2020,MLB,Boston Red Sox,"370,000,000","2,100,000,000",,, -   ,"4,794,447"
2020,NBA,Houston Rockets,"308,000,000","2,500,000,000",,, -   ,"6,772,470"
2020,MLB,Los Angeles Angels,"304,000,000","1,300,000,000",,, -   ,"13,310,447"
2020,MLB,Chicago Cubs,"302,000,000","1,800,000,000",,, -   ,"9,512,999"
2020,NBA,Chicago Bulls,"300,000,000","3,300,000,000",,, -   ,"9,512,999"
2020,NBA,Dallas Mavericks,"295,000,000","2,450,000,000",,, -   ,"7,233,323"
2020,MLB,St. Louis Cardinals,"294,000,000","1,400,000,000",,, -   ,"2,807,002"
2020,MLB,Washington Nationals,"287,000,000","1,280,000,000",,, -   ,"6,131,977"
2020,NBA,Brooklyn Nets,"280,000,000","2,650,000,000",,, -   ,"20,153,634"
2020,NBA,Boston Celtics,"274,000,000","3,200,000,000",,, -   ,"4,794,447"
2020,NBA,Cleveland Cavaliers,"269,000,000","1,560,000,000",,, -   ,"2,055,612"
2020,MLB,Atlanta Braves,"267,000,000","1,150,000,000",,, -   ,"5,789,700"
2020,MLB,Texas Rangers,"266,000,000","1,220,000,000",,, -   ,"7,233,323"
2020,NBA,Miami Heat,"266,000,000","2,000,000,000",,, -   ,"6,066,387"
2020,MLB,Philadelphia Phillies,"265,000,000","1,250,000,000",,, -   ,"6,070,500"
